date,open,high,low,close,volume,per,pbr,roe,ratio_price_ma5,ratio_price_ma20,ratio_price_ma60,ratio_price_ma120,ratio_volume_ma5,ratio_volume_ma20,ratio_volume_ma60,ratio_volume_ma120,ratio_market_kospi_ma5,ratio_market_kospi_ma20,ratio_market_kospi_ma60,ratio_market_kospi_ma120,ratio_market_kosdaq_ma5,ratio_market_kosdaq_ma20,ratio_market_kosdaq_ma60,ratio_market_kosdaq_ma120,ratio_bond_k3y_ma5,ratio_bond_k3y_ma20,ratio_bond_k3y_ma60,ratio_bond_k3y_ma120
20170102,44200.0,44600.0,43850.0,43900.0,745355.0,10.43,0.25,2.45,0.9697371327590015,0.9696835827489094,0.9251356619777672,0.8252332129737688,0.5248466593331101,0.5508881297726596,0.4803193472314723,0.5768542006821941,1.0114937833433912,1.035906102238685,1.0164840871079652,0.9642084046685351,1.0114937833433912,1.035906102238685,1.0164840871079652,0.9642084046685351,1.0002927641510297,1.0016673843137613,0.9961710259873674,0.9906991231464789
20170103,43900.0,44150.0,43800.0,44100.0,799544.0,10.43,0.25,2.45,0.9839357429718876,0.9731339990070061,0.9314441608730089,0.8311019324847466,0.5893289493701788,0.6002289227455925,0.5251555075912432,0.617502709068417,1.0118097797850716,1.038103095361966,1.0248180605191426,0.9718689082141391,1.0118097797850716,1.038103095361966,1.0248180605191426,0.9718689082141391,1.0007133907094579,1.002375046664972,0.9970884270671484,0.9915479257981591
20170104,44450.0,44600.0,43700.0,43900.0,1562907.0,10.43,0.25,2.45,0.9932126696832579,0.9692018986643117,0.9295431687046742,0.8293777305466997,1.2296888631239449,1.1620322945982915,1.0336006327625926,1.20004152406101,1.0100532993588545,1.0384060090990506,1.0308552134976283,0.9775262842289908,1.0100532993588545,1.0384060090990506,1.0308552134976283,0.9775262842289908,0.9999177097715075,1.001921663028715,0.9967666152454433,0.991175253246969
20170105,44100.0,44300.0,43800.0,44250.0,809945.0,10.43,0.25,2.45,1.0047683923705721,0.9764439785954653,0.9390252528825068,0.8380152768133324,0.7649066826029899,0.6056552902422456,0.5432151095147402,0.6226015361506902,1.0094522098853587,1.0373874518784245,1.0359536556106428,0.9823889180378376,1.0094522098853587,1.0373874518784245,1.0359536556106428,0.9823889180378376,1.0009232259892686,1.0029493121324808,0.9981988360424228,0.9925667027107873
20170106,44250.0,44300.0,43900.0,44150.0,1365466.0,10.43,0.25,2.45,1.0020426690876079,0.9743985875082763,0.9390453570605647,0.8381651492259866,1.2922675710651295,1.0325991072162515,0.9258441401743268,1.0465413963446566,1.0074626951220746,1.0343929818485738,1.0384302585752692,0.9849725789851642,1.0074626951220746,1.0343929818485738,1.0384302585752692,0.9849725789851642,1.0006397367940048,1.0026074753732077,0.9982912009385098,0.9926001473171284
20170109,43950.0,44050.0,43050.0,43150.0,2211245.0,10.43,0.25,2.45,0.9826918697335459,0.9552271846809453,0.9205333333333333,0.8214093086709604,1.6381759838746075,1.718825411327802,1.4949344845945514,1.6815719487993357,1.0018972746624708,1.0279861064869371,1.0365966461444474,0.9833603197371219,1.0018972746624708,1.0279861064869371,1.0365966461444474,0.9833603197371219,0.9992963023889163,1.0010963582138745,0.9971684046855834,0.99141445089282
20170110,42900.0,42950.0,41900.0,42250.0,2767706.0,10.43,0.25,2.45,0.9703720716582452,0.9384196790493642,0.9047593554258794,0.8065991584004837,1.5874845665540434,2.0619069129680416,1.848233576364173,2.0759928601662034,0.9933912082695922,1.0165713655129305,1.0284864847253168,0.9758594273470796,0.9933912082695922,1.0165713655129305,1.0284864847253168,0.9758594273470796,0.9996069936844799,1.0011121434161567,0.9975828886760615,0.9917643898367652
20170111,42250.0,43200.0,42250.0,43200.0,1853874.0,10.43,0.25,2.45,0.9953917050691244,0.9621380846325167,0.9282503984099415,0.8270118930819115,1.0289883613173545,1.3676255930238386,1.2262269405795232,1.3804846385172669,0.9958038925609441,1.0162644153624765,1.0309978590411952,0.978459182858877,0.9958038925609441,1.0162644153624765,1.0309978590411952,0.978459182858877,0.9996618441375654,1.0010089709183008,0.9978591672647212,0.9919832523093259
20170112,43050.0,44200.0,43050.0,43850.0,1604990.0,10.43,0.25,2.45,1.0122345337026777,0.9793958344966218,0.9449752172976079,0.8416775968521065,0.8185983855813171,1.1902202147296712,1.054612651501308,1.18665887673042,0.9909248210022725,1.0066151166302504,1.0236509748379476,0.9716399568328566,0.9909248210022725,1.0066151166302504,1.0236509748379476,0.9716399568328566,1.0005392510807871,1.0017111536103511,0.998860196526755,0.9929240443038047
20170113,43800.0,44650.0,43550.0,44600.0,1513487.0,10.43,0.25,2.45,1.0274130384703986,0.998041958041958,0.9636298163485776,0.8583525789068515,0.7604467234538758,1.1023334782973182,0.989996598594958,1.1137576659343922,0.9965675499548485,1.0083657014314173,1.0271600912164838,0.9753352542969578,0.9965675499548485,1.0083657014314173,1.0271600912164838,0.9753352542969578,1.0007586005191387,1.0017130532830472,0.9992448284437306,0.9932716756101737
